,mixed,background,foreground,count
"(0, 0, 0, 0, 0, 0)",[255 255 255],[255 255 255],[255. 255. 255.],4057
"(248, 248, 248, 0, 0, 0)",[249 249 249],[255 255 255],[755. 755. 755.],537
"(0, 0, 0, 248, 248, 248)",[255 255 255],[251 251 251],[259. 259. 259.],699
"(248, 248, 248, 248, 248, 248)",[251 251 251],[251 251 251],[251. 251. 251.],109
"(240, 240, 240, 0, 0, 0)",[239 239 239],[255 255 255],[735. 735. 735.],239
"(0, 0, 0, 240, 240, 240)",[255 255 255],[239 239 239],[271. 271. 271.],297
"(0, 0, 0, 232, 232, 232)",[255 255 255],[235 235 235],[275. 275. 275.],178
"(0, 0, 248, 248, 248, 248)",[255 255 251],[250 250 250],[260. 260. 252.],8
"(0, 0, 0, 0, 0, 248)",[255 255 255],[255 255 252],[255. 255. 258.],15
"(0, 0, 0, 248, 0, 248)",[254 254 254],[251 254 252],[257. 254. 256.],31
"(248, 0, 0, 0, 0, 0)",[249 253 254],[255 255 255],[755. 763. 765.],39
"(232, 232, 232, 0, 0, 0)",[234 234 234],[254 254 254],[726. 726. 726.],185
"(0, 0, 248, 0, 0, 248)",[255 255 252],[253 255 251],[257. 255. 253.],14
"(248, 0, 0, 248, 248, 248)",[248 255 255],[247 245 245],[249. 265. 265.],5
"(0, 0, 0, 248, 0, 0)",[255 255 255],[251 255 255],[259. 255. 255.],28
"(248, 248, 248, 0, 0, 248)",[252 247 249],[255 255 252],[761. 751. 758.],9
"(0, 0, 0, 248, 248, 0)",[253 255 255],[250 252 253],[256. 258. 257.],25
"(248, 0, 0, 248, 0, 0)",[251 255 254],[249 253 254],[253. 257. 254.],2
"(0, 0, 0, 240, 0, 248)",[255 255 255],[244 255 245],[266. 255. 265.],3
"(240, 0, 248, 232, 248, 248)",[242 255 248],[229 252 247],[255. 258. 249.],5
"(248, 248, 248, 248, 0, 0)",[248 250 250],[251 255 255],[757. 757. 757.],6
"(248, 248, 0, 0, 0, 0)",[252 251 253],[253 255 255],[763. 759. 763.],10
"(0, 0, 0, 240, 0, 0)",[255 255 255],[243 255 254],[267. 255. 256.],1
"(248, 248, 0, 240, 248, 0)",[248 250 255],[237 249 253],[259. 251. 257.],6
"(248, 248, 0, 224, 248, 0)",[246 252 255],[224 252 255],[268. 252. 255.],1
"(248, 0, 0, 224, 248, 0)",[246 254 253],[224 245 253],[268. 263. 253.],2
"(248, 0, 0, 224, 248, 248)",[250 255 255],[224 248 246],[276. 262. 264.],1
"(224, 232, 224, 0, 0, 0)",[223 230 223],[255 255 255],[703. 717. 703.],2
"(248, 0, 0, 248, 248, 0)",[251 253 253],[251 247 253],[251. 259. 253.],1
"(248, 248, 0, 232, 248, 0)",[246 252 255],[231 250 255],[261. 254. 255.],3
"(248, 0, 0, 224, 0, 0)",[249 254 255],[224 253 255],[274. 255. 255.],2
"(248, 0, 248, 0, 0, 0)",[248 253 252],[255 254 255],[753. 764. 761.],36
"(0, 0, 0, 0, 248, 0)",[254 253 255],[253 250 255],[255. 256. 255.],39
"(0, 248, 0, 232, 248, 0)",[253 252 255],[236 251 253],[270. 253. 257.],1
"(248, 248, 240, 0, 0, 0)",[251 252 242],[253 255 255],[761. 761. 741.],8
"(0, 0, 0, 240, 0, 240)",[255 254 255],[244 253 240],[266. 255. 270.],1
"(240, 240, 248, 0, 0, 0)",[240 239 248],[254 254 254],[738. 736. 754.],4
"(248, 248, 0, 232, 248, 240)",[251 252 255],[230 247 243],[272. 257. 267.],1
"(248, 0, 0, 232, 0, 248)",[245 255 255],[235 255 250],[255. 255. 260.],1
"(232, 0, 0, 216, 0, 248)",[232 255 253],[220 255 249],[244. 255. 257.],2
"(232, 0, 0, 224, 0, 248)",[234 255 255],[224 255 252],[244. 255. 258.],2
"(232, 0, 0, 232, 0, 0)",[233 255 253],[232 255 253],[234. 255. 253.],7
"(240, 0, 0, 232, 248, 0)",[237 255 255],[234 252 253],[240. 258. 257.],2
"(224, 248, 248, 232, 0, 0)",[228 250 248],[231 255 255],[737. 757. 753.],2
"(0, 0, 0, 248, 240, 0)",[253 254 255],[252 239 253],[254. 269. 257.],2
"(240, 0, 0, 232, 248, 248)",[241 253 253],[232 250 251],[250. 256. 255.],1
"(232, 224, 224, 248, 0, 248)",[230 226 221],[248 253 252],[724. 711. 702.],1
"(240, 232, 232, 248, 0, 0)",[240 232 233],[251 254 255],[741. 722. 723.],1
"(240, 240, 224, 0, 0, 248)",[238 240 228],[255 255 251],[733. 737. 717.],2
"(0, 0, 0, 240, 240, 224)",[255 255 255],[238 240 228],[272. 270. 282.],1
"(224, 224, 224, 0, 0, 0)",[228 228 228],[254 254 254],[714. 714. 714.],31
"(240, 232, 240, 0, 0, 0)",[237 235 241],[255 255 255],[731. 727. 739.],2
"(248, 0, 0, 248, 0, 248)",[251 255 255],[245 255 251],[257. 255. 259.],4
"(0, 248, 248, 0, 0, 0)",[253 248 249],[255 255 255],[763. 753. 755.],21
"(232, 240, 232, 0, 0, 0)",[233 240 235],[255 255 255],[723. 737. 727.],1
