,mixed,background,foreground,count
"(0, 0, 232, 232, 232, 192)",[255 254 230],[235 229 194],[275. 279. 266.],1
"(240, 240, 208, 232, 232, 192)",[244 237 212],[235 229 194],[253. 245. 230.],1
"(232, 232, 192, 216, 200, 144)",[235 229 194],[213 199 147],[257. 259. 241.],3
"(232, 232, 192, 224, 208, 152)",[235 229 194],[222 206 153],[248. 252. 235.],1
"(232, 224, 192, 216, 200, 144)",[233 228 195],[216 202 144],[250. 254. 246.],2
"(232, 224, 192, 224, 208, 136)",[235 228 195],[222 209 135],[248. 247. 255.],2
"(240, 224, 192, 224, 208, 152)",[237 228 194],[222 206 153],[252. 250. 235.],1
"(0, 0, 240, 232, 224, 184)",[254 255 239],[236 226 186],[272. 284. 292.],2
"(248, 0, 224, 216, 200, 144)",[252 253 227],[213 202 142],[291. 304. 312.],1
"(216, 208, 176, 216, 200, 136)",[220 210 180],[215 204 136],[225. 216. 224.],1
"(216, 208, 176, 216, 200, 144)",[220 208 174],[216 202 143],[224. 214. 205.],1
"(232, 224, 192, 224, 200, 136)",[236 227 193],[222 203 135],[250. 251. 251.],3
"(232, 232, 192, 224, 200, 136)",[235 229 194],[223 204 137],[247. 254. 251.],3
"(232, 232, 192, 216, 200, 128)",[235 229 194],[217 203 131],[253. 255. 257.],4
"(0, 0, 224, 216, 200, 136)",[255 253 224],[215 201 135],[295. 305. 313.],3
"(248, 248, 216, 216, 200, 144)",[249 245 220],[213 203 143],[285. 287. 297.],5
"(0, 0, 232, 216, 200, 144)",[254 254 230],[213 203 143],[295. 305. 317.],9
"(232, 232, 192, 224, 208, 136)",[235 229 194],[225 206 133],[245. 252. 255.],3
"(0, 0, 232, 216, 208, 144)",[255 255 231],[213 205 145],[297. 305. 317.],3
"(0, 248, 208, 224, 200, 136)",[255 246 212],[227 204 136],[283. 288. 288.],1
"(0, 0, 232, 200, 200, 152)",[254 255 229],[204 200 149],[304. 310. 309.],1
"(0, 0, 224, 216, 200, 152)",[255 254 221],[215 203 149],[295. 305. 293.],1
"(0, 0, 224, 208, 200, 144)",[255 254 221],[211 201 141],[299. 307. 301.],1
"(0, 0, 0, 0, 0, 232)",[255 255 254],[255 255 232],[255. 255. 276.],1
"(0, 0, 232, 232, 216, 168)",[255 255 232],[229 213 166],[281. 297. 298.],1
"(0, 0, 232, 232, 216, 160)",[255 255 232],[232 215 164],[278. 295. 300.],1
"(248, 232, 208, 232, 216, 160)",[249 235 206],[232 215 164],[266. 255. 248.],1
"(240, 232, 200, 216, 200, 144)",[237 231 202],[219 204 141],[255. 258. 263.],1
"(0, 0, 232, 216, 200, 168)",[255 255 232],[220 202 165],[290. 308. 299.],1
"(248, 232, 208, 216, 200, 144)",[249 235 206],[219 201 142],[279. 269. 270.],1
"(232, 216, 192, 216, 200, 144)",[235 220 194],[217 198 147],[253. 242. 241.],1
"(232, 216, 192, 216, 200, 168)",[233 219 196],[220 202 165],[246. 236. 227.],1
"(232, 216, 192, 224, 216, 144)",[235 220 194],[223 216 147],[247. 224. 241.],1
"(232, 216, 192, 216, 216, 144)",[235 220 194],[220 213 144],[250. 227. 244.],1
"(232, 216, 192, 216, 208, 144)",[235 220 194],[220 212 145],[250. 228. 243.],1
"(0, 248, 240, 224, 216, 176)",[255 252 238],[226 219 176],[284. 285. 300.],1
"(0, 0, 0, 248, 0, 248)",[255 255 255],[252 255 245],[258. 255. 265.],1
"(0, 0, 0, 0, 248, 232)",[255 254 253],[255 250 233],[255. 258. 273.],1
"(0, 0, 0, 0, 248, 240)",[255 255 255],[253 247 240],[257. 263. 270.],2
"(248, 248, 240, 0, 0, 0)",[252 247 244],[255 255 255],[761. 751. 745.],1
"(0, 248, 248, 0, 0, 0)",[253 248 249],[255 255 255],[763. 753. 755.],3
"(0, 0, 232, 224, 216, 176)",[255 255 236],[226 219 176],[284. 291. 296.],1
"(224, 216, 176, 200, 200, 128)",[223 217 176],[203 197 132],[243. 237. 220.],1
"(0, 248, 232, 0, 248, 216)",[254 252 234],[253 245 216],[255. 259. 252.],1
"(224, 216, 176, 216, 208, 136)",[226 219 176],[219 206 138],[233. 232. 214.],1
"(0, 248, 216, 224, 208, 136)",[253 245 216],[222 206 139],[284. 284. 293.],1
"(0, 248, 216, 224, 208, 144)",[253 245 216],[224 207 144],[282. 283. 288.],1
"(232, 216, 184, 216, 208, 128)",[233 220 188],[216 212 131],[250. 228. 245.],1
"(232, 224, 184, 216, 200, 136)",[231 221 181],[218 204 138],[244. 238. 224.],4
"(248, 240, 208, 224, 208, 144)",[250 242 212],[226 207 146],[274. 277. 278.],1
"(0, 0, 248, 232, 224, 200)",[254 254 248],[230 226 198],[278. 282. 298.],11
"(0, 0, 0, 0, 0, 240)",[255 255 255],[253 255 240],[257. 255. 270.],3
"(224, 224, 192, 216, 200, 136)",[227 225 191],[220 204 135],[234. 246. 247.],2
"(240, 232, 192, 216, 200, 136)",[237 229 192],[220 204 135],[254. 254. 249.],32
"(232, 232, 192, 216, 200, 136)",[235 229 192],[220 204 135],[250. 254. 249.],1
"(232, 224, 192, 216, 200, 136)",[235 225 195],[216 200 133],[254. 250. 257.],8
"(240, 240, 216, 216, 200, 144)",[244 239 218],[213 202 145],[275. 276. 291.],1
"(232, 224, 200, 216, 200, 136)",[233 228 197],[220 204 135],[246. 252. 259.],1
"(232, 216, 192, 208, 200, 144)",[229 220 193],[212 201 144],[246. 239. 242.],1
"(240, 224, 192, 216, 200, 136)",[237 228 194],[220 204 135],[254. 252. 253.],7
"(232, 224, 200, 216, 200, 144)",[236 225 198],[213 202 145],[259. 248. 251.],1
"(248, 248, 240, 232, 216, 192)",[249 252 243],[229 220 193],[269. 284. 293.],1
"(0, 248, 240, 232, 216, 192)",[254 252 242],[229 220 193],[279. 284. 291.],1
"(232, 216, 192, 224, 200, 136)",[229 218 191],[221 202 134],[237. 234. 248.],1
"(0, 0, 240, 232, 224, 192)",[255 255 244],[229 225 190],[281. 285. 298.],4
"(240, 224, 192, 224, 200, 136)",[237 228 195],[222 204 133],[252. 252. 257.],16
"(232, 224, 200, 224, 200, 136)",[235 227 197],[222 204 133],[248. 250. 261.],1
"(240, 224, 200, 216, 200, 128)",[237 227 197],[218 203 130],[256. 251. 264.],2
"(240, 224, 200, 216, 208, 128)",[238 226 198],[219 206 132],[257. 246. 264.],1
"(248, 248, 232, 232, 232, 192)",[250 249 235],[233 229 194],[267. 269. 276.],1
"(0, 0, 248, 232, 232, 192)",[255 255 246],[233 229 194],[277. 281. 298.],11
"(232, 224, 200, 216, 200, 128)",[235 227 197],[219 204 132],[251. 250. 262.],2
"(232, 224, 200, 224, 208, 136)",[231 228 197],[223 206 133],[239. 250. 261.],1
"(232, 232, 192, 224, 208, 128)",[235 229 194],[226 205 130],[244. 253. 258.],6
"(240, 224, 200, 224, 200, 136)",[237 227 197],[222 203 135],[252. 251. 259.],4
"(232, 224, 184, 224, 200, 136)",[231 226 187],[224 201 139],[238. 251. 235.],4
"(232, 224, 200, 216, 208, 136)",[231 228 197],[219 205 133],[243. 251. 261.],5
"(0, 248, 232, 216, 200, 152)",[255 250 229],[214 203 151],[296. 297. 307.],1
"(0, 248, 232, 208, 200, 152)",[255 250 229],[207 198 155],[303. 302. 303.],1
"(232, 232, 184, 224, 200, 136)",[233 232 188],[222 204 133],[244. 260. 243.],1
"(232, 232, 184, 216, 200, 136)",[233 232 188],[220 203 136],[246. 261. 240.],1
"(0, 248, 232, 216, 200, 160)",[255 250 229],[216 203 157],[294. 297. 301.],1
"(0, 248, 224, 208, 200, 136)",[254 248 225],[207 197 137],[301. 299. 313.],1
"(240, 232, 200, 224, 208, 128)",[237 229 200],[224 205 132],[250. 253. 268.],1
"(232, 224, 200, 224, 208, 128)",[233 228 197],[224 205 130],[242. 251. 264.],3
"(232, 224, 200, 224, 200, 128)",[233 228 197],[226 204 132],[240. 252. 262.],1
"(0, 0, 248, 248, 240, 216)",[255 255 252],[248 244 220],[262. 266. 284.],1
"(0, 248, 0, 248, 240, 224)",[255 252 254],[245 241 223],[265. 263. 285.],1
"(248, 240, 224, 208, 192, 152)",[245 241 223],[206 196 156],[284. 286. 290.],1
"(248, 240, 224, 216, 200, 160)",[245 241 223],[214 202 160],[276. 280. 286.],1
"(232, 232, 200, 208, 192, 136)",[232 231 203],[208 192 139],[256. 270. 267.],1
"(232, 232, 200, 216, 200, 144)",[232 231 203],[218 202 143],[246. 260. 263.],1
"(240, 224, 200, 216, 208, 136)",[238 228 198],[219 205 133],[257. 251. 263.],4
"(232, 224, 200, 216, 208, 128)",[231 228 197],[219 206 132],[243. 250. 262.],4
"(232, 224, 192, 216, 208, 136)",[233 228 195],[220 205 133],[246. 251. 257.],5
"(224, 224, 192, 216, 200, 128)",[228 227 193],[218 204 128],[238. 250. 258.],1
"(240, 232, 184, 216, 208, 128)",[238 231 188],[220 205 132],[256. 257. 244.],1
"(232, 232, 200, 224, 208, 136)",[234 232 201],[221 206 134],[247. 258. 268.],1
"(232, 224, 192, 216, 200, 128)",[233 228 189],[215 204 130],[251. 252. 248.],2
"(240, 232, 192, 224, 208, 136)",[239 229 195],[222 206 137],[256. 252. 253.],3
